name,position,comment,px,py,pz,pe,s0pos,s1pos
plate_backlight,0,bottom,360.6,187.2,12.35,2.5,35,
plate_backlight,1,lid_grip,360.6,187.2,19.85,2.5,,35
plate_backlight,2,top,362.9,188.4,63,,,
plate_staging,0,,158.1,22.8,2.75,,,
needle_sterilization,0,,332.9,191.9,52.75,,,
plate_stack,A1,,79.8,22.8,2.75,,,
plate_stack,A2,,79.8,22.8,16.25,,,
plate_stack,A3,,79.8,22.8,29.75,,,
plate_stack,B1,,79.8,101.8,1,,,
plate_stack,B2,,79.8,101.8,14.5,,,
plate_stack,B3,,79.8,101.8,28,,,
plate_stack,C1,,79.8,180.8,0.85,,,
plate_stack,C2,,79.8,180.8,14.35,,,
plate_stack,C3,,79.8,180.8,27.85,,,
culture_24well,A1,,305.9,91.9,21,-2.5,,
culture_24well,A2,,305.9,73.9,21,,,
culture_24well,A3,,305.9,55.9,21,,,
culture_24well,A4,,305.9,37.9,21,,,
culture_24well,A5,,305.9,19.9,21,,,
culture_24well,A6,,305.9,1.9,21,,,
culture_24well,B1,,287.9,91.9,21,,,
culture_24well,B2,,287.9,73.9,21,,,
culture_24well,B3,,287.9,55.9,21,,,
culture_24well,B4,,287.9,37.9,21,,,
culture_24well,B5,,287.9,19.9,21,,,
culture_24well,B6,,287.9,1.9,21,,,
culture_24well,C1,,269.9,91.9,21,,,
culture_24well,C2,,269.9,73.9,21,,,
culture_24well,C3,,269.9,55.9,21,,,
culture_24well,C4,,269.9,37.9,21,,,
culture_24well,C5,,269.9,19.9,21,,,
culture_24well,C6,,269.9,1.9,21,,,
culture_24well,D1,,251.9,91.9,21,,,
culture_24well,D2,,251.9,73.9,21,,,
culture_24well,D3,,251.9,55.9,21,,,
culture_24well,D4,,251.9,37.9,21,,,
culture_24well,D5,,251.9,19.9,21,,,
culture_24well,D6,,251.9,1.9,21,,,
plate_flip_height,,,,,33,,,
servo,grip,"","","","","","",30
servo,lid_grip,"","","","","","",35
servo,ungrip,"","","","","","",50
servo,lid_down,"","","","","",150,""
servo,lid_up,"","","","","",35,""
